# Program:featureCounts v2.0.1; Command:"featureCounts" "-T" "1" "-t" "exon" "-g" "gene_id" "-a" "annotation.gtf" "-o" "mouse_cns_E18_rep1.counts.txt" "./mouse_cns_E18_rep1.Aligned.sortedByCoord.out.bam" 
Geneid	Chr	Start	End	Strand	Length	./mouse_cns_E18_rep1.Aligned.sortedByCoord.out.bam
ENSMUSG00000087580	chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9;chr9	283;4607;13991;17868;17876;24049;34865;37729;37729	630;4840;14357;18084;18082;24631;35215;38313;38310	-;-;-;-;-;-;-;-;-	2685	0
ENSMUSG00000087687	chr8;chr8;chr8;chr8	621576;622343;622594;623225	621611;622428;622625;624227	+;+;+;+	1157	87
ENSMUSG00000087697	chr15;chr15;chr15	946040;947406;962460	946084;947484;965858	+;+;+	3523	6
ENSMUSG00000091488	chr18;chr18	336415;365926	337176;366861	+;+	1698	57
ENSMUSG00000091559	chr4;chr4	605265;615069	606982;616695	-;-	3345	2
ENSMUSG00000091607	chr16;chr16	862385;884298	863699;884505	+;+	1523	0
ENSMUSG00000023795	chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17;chr17	76579;77294;77689;78169;79001;79356;79356;80870;82456;83969	76782;77446;77834;79138;79138;79591;79591;81034;82496;84183	-;-;-;-;-;-;-;-;-;-	2130	1432
ENSMUSG00000073242	chr12;chr12;chr12;chr12	859294;861500;861831;862011	860195;861664;861910;862244	-;-;-;-	1381	0
ENSMUSG00000082286	chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11;chr11	25908;25940;26010;27135;27483;27483;27483;28933;28933;28933;28976;29386;29386;29769;29769;30157;30797	26061;26061;26061;27222;27647;27647;27647;29399;29212;29168;29168;29523;29523;30149;29914;30316;31007	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	1750	3212
ENSMUSG00000084941	chr11;chr11;chr11;chr11;chr11;chr11	209000;210994;212536;217286;219241;220602	209326;211139;212628;217353;219349;220725	+;+;+;+;+;+	867	7
ENSMUSG00000085043	chr2;chr2	385886;391293	385983;391818	+;+	624	1
ENSMUSG00000085048	chr16;chr16;chr16	927790;928582;929188	928028;928654;929357	-;-;-	482	0
ENSMUSG00000085180	chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4	169203;169585;173153;174504;174507;174507;174652;174666;175183;175183;179755;183865	169337;169980;174728;174546;174653;174633;174728;174728;175674;175338;180017;185239	+;+;+;+;+;+;+;+;+;+;+;+	4237	4
ENSMUSG00000085205	chr2;chr2	670259;672317	671067;672449	-;-	942	2
ENSMUSG00000085394	chr4;chr4;chr4;chr4	583656;584438;586382;589972	583802;584805;586450;590255	+;+;+;+	868	0
ENSMUSG00000085656	chr2;chr2	772303;794521	772413;794847	+;+	438	0
ENSMUSG00000086049	chr11;chr11	93520;93816	93717;94266	-;-	649	0
ENSMUSG00000086065	chr8;chr8	259705;260359	259731;260641	+;+	310	0
ENSMUSG00000086445	chr2;chr2	843081;846233	843315;846411	-;-	414	0
ENSMUSG00000087055	chr11;chr11	253577;254864	254062;254914	-;-	537	0
ENSMUSG00000087111	chr11;chr11;chr11	42052;42598;43184	42114;42672;43366	+;+;+	321	1
ENSMUSG00000089665	chr8;chr8	671189;672181	671396;672336	-;-	364	14
ENSMUSG00000089699	chr1;chr1	456669;503487	456768;503634	+;+	248	2
ENSMUSG00000089956	chr8;chr8;chr8	709805;718563;738754	709880;718908;739044	+;+;+	713	0
ENSMUSG00000091849	chr14;chr14;chr14;chr14;chr14;chr14;chr14;chr14;chr14;chr14	186102;229651;251206;252105;253059;253059;262183;262183;262183;262183	186428;229994;253155;253262;253262;253262;262308;262308;262328;262315	-;-;-;-;-;-;-;-;-;-	2874	0
ENSMUSG00000092286	chr12;chr12;chr12	752544;753814;761938	753715;754091;762146	-;-;-	1659	10
ENSMUSG00000000600	chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5;chr5	803166;803166;803166;806420;806466;806466;807300;807300;807300;809637;809637;809637;811257;811257;811257;812333;812333;812333;812743;812743;812743;813052;813052;813052;818528;818528;818528;819311;819311;819311;822088;822088;822088;823635;823635;823635;830607;830607;830607;831497;831497;831497;832021;832021;832021;836779;840875;840875;840875;843114;847459	803483;803483;803483;806568;806568;806568;807458;807458;807458;809728;809728;809728;811385;811385;811385;812575;812575;812575;812857;812857;812857;813194;813194;813194;818683;818683;818683;819417;819417;819417;822243;822243;822243;823785;823785;823785;830772;830772;830772;831583;831583;831583;832226;832226;832226;836894;844515;840930;844515;843115;847487	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	6163	1106
ENSMUSG00000000766	chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10;chr10	308333;308344;308996;309060;309060;309060;309080;309341;309341;309341;309344;309365;309365;332436;332436;332436;332436;332436;332436;332436;332436;332436;332436;332436;332436;332436;360757;366778;366788;366838;366838;366838;366838;366838;366838;366838;366838;366838;366838;366838;366838;374224;374224;374224;374224;374224;374224;374224;413175;413175;413175;413175;438481;495929;495970;496194;496435;496555;496684;496684;496684;496684;505005;505162;505180;506588;506623;507862;508406;513555;513749;515903;516045;516045;516045;516045;516045;516045;516045;516045;516045;516045;516045;516045;516045;516045;516045;516045;516045;516045;516045;516045;516045;516045;516045;516045;516045;516045;516045;516045;516045;516045;517305;517305;517305;517305;517305;517305;517305;517305;517305;517305;517305;517305;517305;517305;517305;517305;517305;517305;517305;517305;517305;517305;517305;517305;517305;517305;517305;517305;517305;517578;517631;521279;522629;551651;552234;555453;557384;557384;557384;557384;557384;557384;557384;557384;557384;557384;557384;557384;557384;557384;557384;557384;557384;557384;557384;557384;557384;557384;557384;557384;557384;557384;557384;557384;557384;557384;585961;587852;587852;587852;587852;587852;587852;587852;587852;587852	309383;309383;309383;309383;309383;309383;309383;309383;309383;309383;309383;309383;309383;332500;332500;332500;332500;332500;332500;332500;332500;332500;332500;332500;332500;332500;360863;366925;366925;366925;366925;366925;366925;366925;366925;366925;366925;366925;366925;366925;366925;374342;374342;374342;374342;374342;374342;374342;413574;413469;413574;413574;438666;496735;496735;496735;496735;496735;496735;496735;496735;496735;505282;505975;505282;507006;506729;508136;508498;514024;514604;516564;516564;516564;516564;516564;516564;516564;516564;516564;516564;516564;516564;516564;516564;516564;516564;516564;516564;516564;516564;516564;516564;516564;516564;516564;516564;516564;516564;516564;516564;516564;517656;517656;517656;517656;517656;517656;517656;517656;517656;517656;517656;517656;517656;517656;517656;517656;517656;517656;517656;517656;517656;517656;517656;517656;517656;517656;517656;517656;517656;517656;517656;521426;522735;551752;552310;555546;557732;557942;557732;557940;557732;557442;557732;557566;557797;557516;557732;557732;557732;557732;557971;557732;557732;557704;557732;557704;557847;557732;557732;557797;557880;557732;557732;557732;557797;557732;586088;587948;588035;587948;588035;587948;587948;587948;587948;587948	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	8133	571
ENSMUSG00000001376	chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6;chr6	448383;448417;448422;448427;448435;448437;454870;454870;454870;454870;454870;454870;466623;466623;466623;466623;467790;467790;467790;467790;467790;467813;469218;469218;469218;469218;469218;469218;470208;470208;470208;470208;470208;470208;472257;472257;472257;472257;472257;472684;472684;472684;472684;472684;474094;474094;474094;474094;474094;482159;482159;482159;482159;482159;482980;483473;483473;483473;483473;486833;486833;486833;486833;495511;495511;495511;495511;495511;501014;501014;501014;501014;501014;504997;504997;504997;504997;504997;505369;505369;505369;505369;505369;508978;512269;512269;512269;512269;512269;515517;515517;515517;515517;515517;515517;517736;517736;517736;517736;517736;517736;520698;521003;521003;521003;521003;521003;521003;521003;528795;528795;528795;528795;528795;528795;528795;538007;538007;538007;538007;538007;538007;538007;538052;542428;542428;542428;542428;542428;542428;542428;542428;544019;544019;544019;544019;544019;544019;544019;544019;544744;544744;544744;544744;544744;544744;544744;544748;548473;548473;548473;548473;548473;548473;548473;550129;550129;550129;550129;550129;550129;550129;550129;551369;552661;552661;552661;552661;552661	448555;448555;448555;448555;448555;448555;454953;454937;454937;454937;454937;454937;466744;466744;466744;466744;467860;467860;467860;467860;467860;467860;469270;469270;469270;469270;469270;469270;470277;470624;470277;470277;470277;470277;472373;472373;472373;472373;472373;472718;472718;472718;472718;472718;474175;474175;474175;474175;474175;482200;482200;482200;482200;482200;483017;483570;483570;483570;483570;486972;486972;486972;486972;495642;495642;495642;495642;495642;501104;501104;501104;501104;501104;505090;505090;505090;505090;505090;505466;505466;505466;505466;505466;512358;512358;512358;512358;512358;512358;515692;515692;515692;515692;515692;515692;517853;517853;517853;517853;517853;517853;520796;521108;521108;521108;521108;521108;521108;521108;528915;528915;528915;528915;528915;528915;528915;538086;538086;538086;538086;538086;538086;538086;538086;542575;542575;542575;543057;542575;542575;542575;542575;544114;544114;544114;544114;544114;544114;544114;544114;544901;544901;544901;544901;544901;544901;544901;544901;548593;548593;548593;548593;548593;548593;548593;550317;550317;551110;550317;550317;550262;550317;550317;553315;553319;552926;553211;553114;553315	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	9906	728
ENSMUSG00000001750	chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19;chr19	896051;896051;896051;896051;896051;896271;896271;896271;896271;896271;896271;896401;896605;896605;896605;896605;896605;896605;896605;896796;896796;896796;896796;896796;896796;896796;897039;897039;897039;897039;897039;897039;897039;897072;897469;897469;897469;897469;897469;897469;897759;897759;897759;897759;897759;897759;898208;898549;898549;898549;898549;898549;898549;898719;898719;898719;898719;898719;898737;898981;898981;898981;898981;898981;898981;898981;901892;901892;901892;901892;901892;901892;902244;902345;902345;902345;902345;902345;902495;902632;902632;902632;902632;902632;902632;902632;902632;902695;902883;902883;902883;902883;902883;902883;902883;902883;902883;903047;903047;903047;903047;903047;903047;903047;903047;903047;903341;903341;903341;903341;903341;903510;903510;903510;903510;903510;903510;904218;904218;904218;904218;904218;904218;904586;904586;904586;904586;904615;905076;906525;907020;907020;907020	896192;896192;896192;896192;896192;896447;896447;896447;896447;896447;896447;896447;896721;896721;896721;896721;896721;896721;896721;896902;896902;896902;896902;896902;896902;896902;897230;897169;897169;897169;897169;897169;897169;897169;897681;897831;897681;897681;897681;897681;897876;897876;897876;897876;897876;897876;898638;898638;898638;898875;898638;898638;898638;898875;898875;898853;898875;898875;898875;899119;899119;899119;899119;899119;899119;899119;902035;902035;902556;902035;902023;902035;902556;902556;902556;902556;902556;902556;902556;902724;902724;902724;902724;902724;902724;902724;902724;902724;902964;902964;902964;902964;902964;902964;902964;902964;902964;903246;903172;903172;903072;903172;903428;903172;903428;903172;903428;903428;903355;903428;903428;903729;903729;903729;903729;903729;903729;904295;904295;904421;904295;904295;904295;904705;904705;904705;904705;904705;905230;906991;907112;907040;907133	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	4452	436
ENSMUSG00000003282	chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4;chr4	828144;832038;832595;832697;836054;836054;836054;839005;839568;842769;842769;842769;865362;865362;865362;865362	832094;832094;832952;832952;836149;836149;836149;842872;839658;842872;842872;842872;865570;865552;865540;865529	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	8482	54
ENSMUSG00000003585	chr11;chr11;chr11	997043;997779;997779	998438;998438;998438	-;-;-	1396	18
ENSMUSG00000004565	chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8	515385;515385;516511;516682;516682;517078;517078;517326;517326;517559;517559;521276;521276;521509;521509;522102;522102;522278;522278;522589;522589;522760;522760;523259;523259;523759;523759;524000;524000;524253;524253;530963;530963;531430;531430;531639;531639;532004;532004;532353;532353;534531;534531;534833;534833;535463;535463;535821;535821;536544;536544;536864;536864;537250;537250;537452;537452;537970;537970;541292;541292;542299;542299;542846;542846;543068;543068;543955;543955	515556;515556;516568;516749;516749;517164;517164;517407;517407;517655;517655;521415;521415;521667;521667;522181;522181;522405;522405;522668;522668;522924;522924;523341;523341;523867;523867;524166;524166;524329;524329;531167;531167;531560;531560;531761;531761;532116;532116;532427;532427;534670;534670;534895;534895;535630;535630;536002;536002;536661;536661;537019;537019;537365;537365;537520;537520;538085;538085;541592;541592;542414;542414;542941;542941;543176;543176;544266;544266	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4461	656
ENSMUSG00000004567	chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8	500458;500505;500507;505739;505739;505739;505780;506910;507150;507150;507150;507402;507402;507402;508320;508320;508320;508685;508685;508685;509137;509137;510321;510321;510321;510541;510541;510668;510815;510815;510815;511597;511689;511689;511689;511689;512651;512651;512651;512651;512651;512683;513302;514563;514784;514784;514784;515015;515015;515015	500627;500627;500627;505943;505943;505943;505943;506941;507316;507316;507316;507566;507566;507566;508427;508427;508427;509235;508780;508780;509235;509235;510915;510426;510426;510689;510689;510689;510915;510915;510915;511810;511810;511810;511810;511810;512865;513022;512865;512807;512865;512865;513561;514913;514913;515224;514913;515232;515232;515232	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	3509	1228
ENSMUSG00000004568	chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8	393007;393039;393074;393074;427350;427350;427350;427350;429091;429233;429233;429233;429500;429500;429500;432620;432620;434873;434873;436983;436983;437012;439488;439488;439488;441221;441221;441221;444890;444890;444890;447003;447003;447003;448384;448384;448384;450297;450297;450759;450782;450782;451492;451492;451492;451632;451632;451632;451816;451816;451816;453039;453039;453039;454160;454160;454373	393102;393102;393224;393102;427490;427490;427490;427490;429271;429344;429344;429344;429639;429639;429639;432869;432869;434997;434997;437099;437099;437099;439738;439738;439738;441296;441296;441296;445067;445067;445067;447090;447090;447090;448568;450640;448568;450436;450436;450914;450914;450914;451538;451538;451538;451678;451678;451678;452285;452285;452285;456600;453371;453371;454268;454284;456601	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	8378	610
ENSMUSG00000004626	chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8	630956;631153;631154;631154;631158;631166;631171;632221;632221;632221;632221;632221;632221;632501;632501;632501;632501;632501;632916;633292;633292;633292;633292;633292;633292;633292;633832;633849;633849;633849;633849;633849;633849;633849;634021;634021;634021;634021;634021;634021;634476;634476;634476;634476;634476;635417;635447;635447;635447;635447;635447;635617;635617;635617;635617;635617;635833;635833;636182;636182;636357;636357;636495;636495;637117;637117;637167;639509;639509;639509;639575;640708;640750;640765;640838;641112;641112;641613;641736;641736;641736;641736;641736;641736;641896;641896;641896;641899;641899;641899;641899;642647;642647;642647;642647;642647	631204;631204;631204;631278;631204;631204;631204;632269;632269;632269;632269;632269;632269;632581;632581;632600;632581;632581;633367;633367;633367;633367;633367;633367;633367;633367;633924;634123;633926;633926;633926;633926;633926;633926;634123;634066;634123;634123;634123;634123;634735;634623;634623;634623;634623;635530;635530;635494;635530;635530;635530;635742;635719;635746;635639;635746;635939;635939;636238;636238;636421;636421;636574;636574;637254;637254;637254;639617;639617;639617;639617;641206;641004;641206;641206;641206;641206;641820;641820;641820;641820;641820;641820;641820;641937;642055;642055;642055;642022;642055;642055;642795;642788;643644;642795;642794	+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+;+	4141	1054
ENSMUSG00000004630	chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8	623372;623372;623378;623378;623378;623378;623381;623697;624509;624509;624509;624509;624509;624787;624787;624787;624787;624787;624787;625003;625211;625471;625471;625471;625471	624900;623558;623558;623558;624632;623558;623558;623754;624632;624632;624632;624632;624632;624900;625002;624900;624900;624900;624900;625049;625282;625545;625525;625545;625545	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	1825	7
ENSMUSG00000004748	chr11;chr11;chr11;chr11;chr11;chr11	991484;993805;994393;994438;994818;995220	992302;994036;994519;994519;995143;995448	-;-;-;-;-;-	1733	36
ENSMUSG00000005534	chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8;chr8	150923;158697;159454;161340;161682;163238;165519;167503;169710;173481;174615;174796;181703;184952;184952;189126;189126;192547;192547;194796;198062;202891;204631;211102;211380;258384;258384;279030;279030	156023;158830;159582;161498;161791;163481;165585;167604;169868;173619;174888;174888;181737;185152;185152;189292;189292;192717;192802;194921;198275;203034;204778;211700;211700;258934;258934;279551;279617	-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-	9647	743
